PaperId,AuthorId,DisplayName,LastKnownAffiliationId,PaperCount
2767134958,2590519317,Alexandra S. Wimberly,79576946,5
2051891494,2599552881,Robert M. Lombardo,1925986,23
2606439011,2605912334,Asma Al Rashidi,"",1
2163492021,2616172055,Lance Linke,1331384533,1
2066392671,2648276950,Kelly A. Ort,"",1
2057005931,2665029562,Carolyn T. Thorpe,170201317,74
2292076709,2672609975,Xiaoyan Xiao,154099455,2
2406231110,2685709101,A. Delle Sedie,"",2
2623627079,2687915100,Jingqing Hang,"",2
2798067387,2693305756,Mette Waaddegaard,2800875313,7
2112912079,2693518176,Erik Faust Dietz,"",1
1915854591,2693967598,Cláudia Pinto,182534213,14
1999570138,2722839888,Robin S. Patterson,"",1
2742024346,2739692683,Z. Horne,"",2
2594755663,2739692683,Z. Horne,"",2
2529766930,2742763208,Seonghee Han,152830075,1
2746298960,2746616291,Nick Petersen,"",1
2752852783,2753432106,Maryam Meshkat,"",1
2804713932,2755135092,Soern Finn Menning,200650556,4
2810775423,2764655268,Abhiram Sharma,28407311,7
2772174710,2765921732,Maria Adams,28290843,4
2028071604,2776088494,Holly Ventura Miller,11874761,45
2126963627,2776088494,Holly Ventura Miller,11874761,45
2154382484,2776088494,Holly Ventura Miller,11874761,45
2119209084,2776088494,Holly Ventura Miller,11874761,45
2782753578,2783705147,Roland Gorges,"",1
2568559271,2789882765,Alexander Hassett,119474363,13
2573514903,2789882765,Alexander Hassett,119474363,13
2142959774,2803010505,Rhea Pogue,219193219,5
2807480180,2805556149,Elizabeth Spiegel,180670191,1
2813697625,2826884222,Steven Hays,180857899,1
2890367934,2893967382,Petula Nijeboer,911458345,4
2900864794,2900478347,Jessica L. Eckhardt,918218293,1
2488570633,109179921,Jens Blechert,182212641,143
1865669405,163699714,Christopher Gandrud,24830596,47
2329895157,181281533,Nafisa Zabeen Ovi,"",1
2051076602,307681961,Kaivan Khavandi,28407311,33
1995792278,890028252,Knut Drewing,200763008,97
2621821178,1161675139,Tracey A. Revenson,174216632,90
2195224803,1869716404,Kristen Dulacki,94396219,5
2532164252,1965979465,Manuela Naldini,1330701686,46
1984319339,1966177674,Arunas Juska,186335123,32
2277932823,1986668592,Gavin McArdle,100930933,64
2049039928,1988908316,Earl Wysong,181658840,9
1971122627,1988934988,Alan Meyers,111088046,72
2158958786,2004124248,Paul Mazerolle,11701301,112
2146159948,2004124248,Paul Mazerolle,11701301,112
2008607375,2004526524,Jane S. VanHeuvelen,165450437,5
2121084468,2028601353,Mohammad Raouf Moini,105818395,1
2082171685,2032034070,Andrea Borini,9360294,164
2134189900,2047060905,Daniel Hor,10052268,6
2133050421,2065226721,Karestan C. Koenen,136199984,462
2146394042,2068112491,Douglas S. Goodin,180670191,234
2134310358,2071927018,Naohiro Kanayama,13491362,319
2790505783,2080408486,Bengt Lindström,204778367,45
2221086225,2090821400,Christopher Y. Olivola,74973139,47
2797209733,2101696412,Jesse Fox,52357470,70
2122451906,2103405816,Alex Watson,136199984,4
2117305574,2104526707,Michael J. Butler,130785548,25
1972926246,2104967043,Keith I. Block,39422238,96
1985537921,2105005360,Alyssa L. Baxter,5023651,3
2126924756,2107545733,Robert MacDonald,874055015,82
2515212129,2108663075,Yasuhiro Goto,145673806,26
2740708809,2115549756,Jürgen Stein,114090438,418
2108131529,2117539269,David P. Farrington,241749,788
2008621762,2117539269,David P. Farrington,241749,788
2064646389,2117539269,David P. Farrington,241749,788
2105097855,2117539269,David P. Farrington,241749,788
2087049005,2117539269,David P. Farrington,241749,788
1963667106,2117539269,David P. Farrington,241749,788
2145777110,2117539269,David P. Farrington,241749,788
2313289162,2119659506,Christine M. Markham,919571938,134
16694102,2126649456,Debra Dell,188497080,9
2460652884,2128196216,Joan L. Herman,161318765,123
2117414711,2129313110,Richard Dembo,2613432,166
2097240415,2133299745,C. W. Kan,14243506,315
2135732364,2136896403,Richard J. Stoll,74775410,45
2478017657,2138144984,Mehrul Hasnain,142823887,53
2738006244,2138232959,Cuiping Fu,24943067,14
2766435153,2140270128,Tatsuya Morimoto,150240954,233
1990484630,2140960983,Barbara Dodd,180825142,182
2198905657,2146282637,Heather J. Fullerton,180670191,169
2080545190,2148849430,Brian J. Willoughby,100005738,83
2156655538,2149788824,William J. Doyle,170201317,352
2105824485,2149788824,William J. Doyle,170201317,352
2060876133,2150339770,Helen Seeley,241749,42
2140060348,2151848631,Karl E. Minges,32971472,70
2339256152,2154620986,Leslie A. Miller,176279760,7
2099221584,2161324597,Vern Baxter,192396691,38
2738006244,2167053648,Shanqun Li,24943067,26
2292814413,2170830854,Gladys Muasya,55732556,4
2110196768,2182988960,Lesley Lavery,5444425,23
2809809464,2196351575,Dessislava Kirilova,70983195,4
2107100690,2232164357,Sally J. Rogers,84218800,233
2129479519,2251921123,Moses Samuel,33849332,63
2342005241,2255024211,Katsumi Watanabe,150744194,349
2022561254,2255024211,Katsumi Watanabe,150744194,349
2091218569,2260382515,Sacha Maimone,67031392,6
2326516396,2265938130,Ian Ramsay,165779595,268
2516021950,2271127346,Juanni Hou,151075929,10
2159662416,2272403350,JesÃºs T. Pastor,"",1
2602511000,2276677629,Matthew J. Benus,20690127,6
2165784437,2276934991,Paulo Silva Belmonte de Abreu,130442723,36
2428417183,2279004535,Svein Ivar Bekkelund,1298853749,79
2340751414,2285415130,Mariane Bertagnolli,70931966,44
2408559599,2304772981,Beena Mary John,11880225,7
2426647608,2324086675,Masaharu Maeda,130830085,72
2048946716,2343995166,Stavroula Kontoudaki,194019607,1
2076114625,2351209619,Hyeyoung Lim,117942362,9
2374264476,2365771271,Kadee L. Brinser,191429286,1
2346793415,2401112648,Seong-Yun Jeong,40542001,76
2145795368,2410232364,Danielle Fagen,22759111,3
2107100690,2421828878,Susan E. Bryson,129902397,185
2153356155,2430280364,Charles Swank,52357470,4
2111404535,2460068258,Hülya Ulusoy,162720556,47
1869777693,2481115689,Gary E. David,139924743,1
